reconstructor,image_id,original_prompt,generated_prompt,clip_score,bertscore_precision,bertscore_recall,bertscore_f1,latency_seconds
pez,000131,barack obama at a pride parade,how parade intilebron affectiondemocratic aloha happiness,0.2688,0.6547941565513611,0.6860291361808777,0.6700478196144104,67.97999999999999
pez,000139,photo portrait  of 19 century metal fine detail engravings runes face mask cultist lord rich baron by Diane Arbus and Louis Daguerre,rebellion indicted incarceration collaborators browsing fairly yale eliza,0.2883,0.7846859097480774,0.7352663278579712,0.7591726779937744,67.97999999999999
pez,000144,“Asian guy vaping in Hong Kong waiting for taxi raining neon lights”,streetphotography portrait sidewalk cafes todayshow smartphones challengers slive,0.2864,0.7342939376831055,0.736196756362915,0.73524409532547,67.97999999999999
pez,000158,half wolf half shark,ว waterdescription dog threaten aquatic husky receive,0.3422,0.7348964810371399,0.744936466217041,0.7398824691772461,67.97999999999999
clip_tag,000001,"A psychedelic goliath warrior rust monster, vibrant color scheme, highly detailed, in the style of romanticism, cinematic, artstation, Moebius, Greg rutkowski","concept art, digital painting, cinematic lighting",0.251,0.7918373942375183,0.7207103967666626,0.7546015977859497,1.6355
clip_tag,000003,"A psychedelic refrum rust monster, vibrant color scheme, highly detailed, in the style of romanticism, cinematic, artstation, Moebius, Greg rutkowski","concept art, digital painting, volumetric lighting",0.2439,0.7817010879516602,0.7303985357284546,0.7551794648170471,1.6355
clip_tag,000005,"A psychedelic death knight water elemental, vibrant color scheme, highly detailed, in the style of romanticism, cinematic, artstation, Moebius, Greg rutkowski","psychedelic, digital painting, volumetric lighting",0.31,0.8106465935707092,0.7473511099815369,0.7777131199836731,1.6355
clip_tag,000006,a horse doing a kickflip on a skateboard while wearing sick 90's cool kid clothing,"photorealistic, 3d render, high contrast lighting",0.2125,0.6715447306632996,0.664321780204773,0.6679137349128723,1.6355
clip_tag,000027,sonic in a pitch black forest,"concept art, 3d render, cinematic lighting",0.1995,0.6972411274909973,0.7117177844047546,0.7044050693511963,1.6355
clip_tag,000032,"london 4k, hd, photorealistic","photorealistic, matte painting, volumetric lighting",0.262,0.8558288812637329,0.8213827610015869,0.8382521271705627,1.6355
clip_tag,000034,"concept art, Citroën XM (1994), retro cyberpunk, Krenz Cushart, Ross Tran","cyberpunk, digital painting, cinematic lighting",0.2613,0.856749415397644,0.7563722133636475,0.8034378290176392,1.6355
clip_tag,000049,"Joseph Stalin and Maria Sharapova eating lunch, 4k photo,","vaporwave, photograph, harsh lighting",0.1564,0.7783545255661011,0.6925298571586609,0.7329383492469788,1.6355
clip_tag,000070,"Soviet Desolator from Red Alert, military art","concept art, matte painting, cinematic lighting",0.2402,0.7831250429153442,0.7419193387031555,0.7619654536247253,1.6355
clip_tag,000077,a photo from the future,"surrealism, matte painting, cinematic lighting",0.2477,0.7036320567131042,0.7007133960723877,0.70216965675354,1.6355
clip_tag,000084,"Stray cat sitting on a roof watching a cyberpunk futuristic city, ultra realistic, unreal engine","cyberpunk, matte painting, cinematic lighting",0.3192,0.8302288055419922,0.7702191472053528,0.7990989685058594,1.6355
clip_tag,000088,"a Rainbow cat ready to catch a mouse, ultra realistic, 8K","psychedelic, matte painting, volumetric lighting",0.2374,0.7686868906021118,0.7256864309310913,0.746567964553833,1.6355
clip_tag,000089,"Mara Carfagna in Yakuza videogame, artwork trending on artstation, digital art, 8k","photorealistic, 3d render, cinematic lighting",0.2263,0.79986172914505,0.7322776913642883,0.7645791172981262,1.6355
clip_tag,000103,"brain tree eye holy grail, cinematic masterpiece, very detailed","surrealism, 3d render, cinematic lighting",0.2499,0.8022205829620361,0.7641255855560303,0.7827098369598389,1.6355
clip_tag,000115,"happy raccoon pushing a grocery cart with medical supplies, a laptop perched on top, and a face mask hanging off a corner.","photorealistic, 3d render, ambient lighting",0.1989,0.7139047980308533,0.6787480711936951,0.6958826780319214,1.6355
clip_tag,000128,"Falco Lombardi from Starfox, full color painting by J.C. Leyendecker","concept art, 3d render, cinematic lighting",0.2054,0.7569377422332764,0.676985502243042,0.7147325873374939,1.6355
clip_tag,000131,barack obama at a pride parade,"psychedelic, photograph, harsh lighting",0.1547,0.6699879765510559,0.6567049026489258,0.6632799506187439,1.6355
clip_tag,000139,photo portrait  of 19 century metal fine detail engravings runes face mask cultist lord rich baron by Diane Arbus and Louis Daguerre,"surrealism, photograph, studio lighting",0.231,0.7435105443000793,0.6933421492576599,0.7175505757331848,1.6355
clip_tag,000144,“Asian guy vaping in Hong Kong waiting for taxi raining neon lights”,"cyberpunk, photograph, neon lighting",0.2863,0.755994975566864,0.7172622084617615,0.7361194491386414,1.6355
clip_tag,000158,half wolf half shark,"photorealistic, photograph, golden hour lighting",0.2172,0.6830669045448303,0.6934125423431396,0.688200831413269,1.6355
